entry_time,exit_time,direction,entry,exit,sl,tp,lots,pnl,r_multiple,meta
2017-01-03 20:00:00+00:00,2017-01-04 00:00:00+00:00,1,1159.455,1156.785,1147.8930921506983,,0.43,-97.60999999999335,-0.19633437920342522,"{'time_exit_bars': 2, 'atr': 3.7789692831005763, 'entry_hour_utc': 19, 'exit_reason': 'time_exit', 'signal_time': Timestamp('2017-01-03 19:00:00+0000', tz='UTC')}"
2017-01-04 20:00:00+00:00,2017-01-05 00:00:00+00:00,1,1163.715,1171.505,1154.7733533195142,,0.55,494.4500000000105,1.0054076526664792,"{'time_exit_bars': 2, 'atr': 2.922215560161963, 'entry_hour_utc': 19, 'exit_reason': 'time_exit', 'signal_time': Timestamp('2017-01-04 19:00:00+0000', tz='UTC')}"
2017-01-05 20:00:00+00:00,2017-01-06 00:00:00+00:00,1,1181.235,1178.335,1171.201704654842,,0.5,-124.99999999999318,-0.24917037862404348,"{'time_exit_bars': 2, 'atr': 3.2694317817193355, 'entry_hour_utc': 19, 'exit_reason': 'time_exit', 'signal_time': Timestamp('2017-01-05 19:00:00+0000', tz='UTC')}"
2017-01-06 20:00:00+00:00,2017-01-09 00:00:00+00:00,1,1173.0449999999998,1173.935,1162.4950949474176,,0.47,98.2300000000047,0.19810604830879808,"{'time_exit_bars': 2, 'atr': 3.4583016841940952, 'entry_hour_utc': 19, 'exit_reason': 'time_exit', 'signal_time': Timestamp('2017-01-06 19:00:00+0000', tz='UTC')}"
2017-01-09 20:00:00+00:00,2017-01-10 00:00:00+00:00,1,1182.605,1181.385,1174.5789241554858,,0.62,-50.840000000001695,-0.10216698868606999,"{'time_exit_bars': 2, 'atr': 2.6170252815047435, 'entry_hour_utc': 19, 'exit_reason': 'time_exit', 'signal_time': Timestamp('2017-01-09 19:00:00+0000', tz='UTC')}"
2017-01-10 20:00:00+00:00,2017-01-11 00:00:00+00:00,1,1187.355,1187.4850000000001,1177.2580618911975,,0.49,25.97000000000535,0.052491160616113315,"{'time_exit_bars': 2, 'atr': 3.307312702934157, 'entry_hour_utc': 19, 'exit_reason': 'time_exit', 'signal_time': Timestamp('2017-01-10 19:00:00+0000', tz='UTC')}"
2017-01-11 20:00:00+00:00,2017-01-12 00:00:00+00:00,1,1191.0349999999999,1194.285,1178.1970925632072,,0.39,173.55000000000888,0.3466296997318117,"{'time_exit_bars': 2, 'atr': 4.234302478930969, 'entry_hour_utc': 19, 'exit_reason': 'time_exit', 'signal_time': Timestamp('2017-01-11 19:00:00+0000', tz='UTC')}"
2017-01-12 20:00:00+00:00,2017-01-13 00:00:00+00:00,1,1195.5149999999999,1193.805,1185.2623025575547,,0.49,-64.18999999999065,-0.12777125311203794,"{'time_exit_bars': 2, 'atr': 3.352565814148452, 'entry_hour_utc': 19, 'exit_reason': 'time_exit', 'signal_time': Timestamp('2017-01-12 19:00:00+0000', tz='UTC')}"
2017-01-13 20:00:00+00:00,2017-01-16 00:00:00+00:00,1,1198.305,1201.395,1188.7473996777492,,0.52,223.07999999999578,0.44885743862007293,"{'time_exit_bars': 2, 'atr': 3.1442001074169688, 'entry_hour_utc': 19, 'exit_reason': 'time_exit', 'signal_time': Timestamp('2017-01-13 19:00:00+0000', tz='UTC')}"
2017-01-17 20:00:00+00:00,2017-01-18 00:00:00+00:00,1,1215.745,1216.435,1205.8942074053434,,0.51,55.59000000000279,0.11065099478303114,"{'time_exit_bars': 2, 'atr': 3.2152641982188706, 'entry_hour_utc': 19, 'exit_reason': 'time_exit', 'signal_time': Timestamp('2017-01-17 19:00:00+0000', tz='UTC')}"
2017-01-18 20:00:00+00:00,2017-01-19 00:00:00+00:00,1,1205.705,1203.515,1196.9172591803797,,0.57,-56.429999999990144,-0.11265694110930889,"{'time_exit_bars': 2, 'atr': 2.8575802732067443, 'entry_hour_utc': 19, 'exit_reason': 'time_exit', 'signal_time': Timestamp('2017-01-18 19:00:00+0000', tz='UTC')}"
2017-01-19 20:00:00+00:00,2017-01-20 00:00:00+00:00,1,1204.745,1203.2450000000001,1194.4312539909497,,0.48,-52.79999999998908,-0.1066537802108502,"{'time_exit_bars': 2, 'atr': 3.372915336350063, 'entry_hour_utc': 19, 'exit_reason': 'time_exit', 'signal_time': Timestamp('2017-01-19 19:00:00+0000', tz='UTC')}"
2017-01-20 20:00:00+00:00,2017-01-23 00:00:00+00:00,1,1207.585,1214.9550000000002,1196.5729882704593,,0.45,385.6500000000053,0.7782410889565524,"{'time_exit_bars': 2, 'atr': 3.605670576513598, 'entry_hour_utc': 19, 'exit_reason': 'time_exit', 'signal_time': Timestamp('2017-01-20 19:00:00+0000', tz='UTC')}"
2017-01-23 20:00:00+00:00,2017-01-24 00:00:00+00:00,1,1215.415,1217.7050000000002,1206.731302978032,,0.58,156.02000000001104,0.3097758930551207,"{'time_exit_bars': 2, 'atr': 2.852899007322632, 'entry_hour_utc': 19, 'exit_reason': 'time_exit', 'signal_time': Timestamp('2017-01-23 19:00:00+0000', tz='UTC')}"
2017-01-24 20:00:00+00:00,2017-01-25 00:00:00+00:00,1,1209.975,1208.765,1202.4109202970806,,0.66,-53.45999999998739,-0.10708506940866722,"{'time_exit_bars': 2, 'atr': 2.453026567639796, 'entry_hour_utc': 19, 'exit_reason': 'time_exit', 'signal_time': Timestamp('2017-01-24 19:00:00+0000', tz='UTC')}"
2017-01-25 20:00:00+00:00,2017-01-26 00:00:00+00:00,1,1200.0449999999998,1201.345,1190.2452283859188,,0.51,127.50000000000927,0.25510798602775636,"{'time_exit_bars': 2, 'atr': 3.198257204693662, 'entry_hour_utc': 19, 'exit_reason': 'time_exit', 'signal_time': Timestamp('2017-01-25 19:00:00+0000', tz='UTC')}"
2017-01-26 20:00:00+00:00,2017-01-27 00:00:00+00:00,1,1189.065,1186.605,1179.8129576815888,,0.54,-111.24000000000197,-0.22265354276435967,"{'time_exit_bars': 2, 'atr': 3.0423474394703933, 'entry_hour_utc': 19, 'exit_reason': 'time_exit', 'signal_time': Timestamp('2017-01-26 19:00:00+0000', tz='UTC')}"
2017-01-27 20:00:00+00:00,2017-01-30 00:00:00+00:00,1,1190.885,1193.2250000000001,1183.1287910304168,,0.65,230.10000000000946,0.456408538486086,"{'time_exit_bars': 2, 'atr': 2.543736323194389, 'entry_hour_utc': 19, 'exit_reason': 'time_exit', 'signal_time': Timestamp('2017-01-27 19:00:00+0000', tz='UTC')}"
