entry_time,exit_time,direction,entry,exit,sl,tp,lots,pnl,r_multiple,meta
2017-01-04 09:00:00+00:00,2017-01-05 07:00:00+00:00,1,1165.5449999999998,1177.968640308832,1178.143640308832,,0.75,1021.7730231624068,2.066749393899267,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1164.35, 'don_lower': 1126.39, 'atr': 3.1984100772080004, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-01-04 08:00:00+0000', tz='UTC')}"
2017-01-05 15:00:00+00:00,2017-01-06 06:00:00+00:00,1,1181.565,1173.7307091940977,1173.9057091940977,1196.0885816118048,0.65,-483.2289023836531,-0.9706239120955356,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1179.26, 'don_lower': 1126.77, 'atr': 3.697145402951205, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-01-05 14:00:00+0000', tz='UTC')}"
2017-01-10 14:00:00+00:00,2017-01-10 17:00:00+00:00,1,1188.985,1182.2465975850603,1182.4215975850602,1201.5868048298796,0.76,-512.1185835354117,-1.0266630002148913,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1187.54, 'don_lower': 1136.45, 'atr': 3.194201207469911, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-01-10 13:00:00+0000', tz='UTC')}"
2017-01-11 18:00:00+00:00,2017-01-13 01:00:00+00:00,1,1195.0149999999999,1193.2374973480498,1193.4124973480498,1212.7213551785962,0.54,-9.585143205302401,-0.019472238921485804,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1191.27, 'don_lower': 1144.33, 'atr': 4.470338794649065, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-01-11 17:00:00+0000', tz='UTC')}"
2017-01-17 05:00:00+00:00,2017-01-18 20:00:00+00:00,1,1211.965,1208.1751469545313,1208.3501469545313,1221.4418011161574,0.99,-335.59545150139036,-0.673806410270849,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1208.48, 'don_lower': 1160.63, 'atr': 2.417950279039365, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-01-17 04:00:00+0000', tz='UTC')}"
2017-01-26 12:00:00+00:00,2017-01-27 19:00:00+00:00,-1,1187.4850000000001,1191.0699982176238,1190.8949982176239,1175.943726249749,0.83,-314.15485206276765,-0.6368687609174336,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1219.4, 'don_lower': 1188.7, 'atr': 2.9140684375626993, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-01-26 11:00:00+0000', tz='UTC')}"
2017-02-02 10:00:00+00:00,2017-02-02 16:00:00+00:00,1,1222.375,1215.3816611053387,1215.5566611053387,1235.5166777893228,0.72,-503.520400415613,-1.0256660753746014,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1219.4, 'don_lower': 1180.48, 'atr': 3.3266694473307, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-02-02 09:00:00+0000', tz='UTC')}"
2017-02-06 11:00:00+00:00,2017-02-08 09:00:00+00:00,1,1226.135,1235.8653606798857,1236.0403606798857,,0.95,1000.3842645891448,2.030857171691375,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1225.21, 'don_lower': 1180.48, 'atr': 2.5150901699714026, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-02-06 10:00:00+0000', tz='UTC')}"
2017-02-08 12:00:00+00:00,2017-02-09 15:00:00+00:00,1,1239.905,1235.5098700755123,1235.6848700755122,1250.1124905046624,0.92,-293.9519530528702,-0.5921024295749675,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1238.31, 'don_lower': 1180.48, 'atr': 2.600622626165625, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-02-08 11:00:00+0000', tz='UTC')}"
2017-02-23 13:00:00+00:00,2017-02-24 13:00:00+00:00,1,1248.575,1257.535,1258.297191707221,,0.97,907.9200000000035,1.8376016215274655,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1243.71, 'don_lower': 1216.64, 'atr': 2.469297926805233, 'exit_reason': 'sl_gap', 'signal_time': Timestamp('2017-02-23 12:00:00+0000', tz='UTC')}"
2017-02-24 13:00:00+00:00,2017-02-24 14:00:00+00:00,1,1260.0149999999999,1255.4921566962694,1255.6671566962693,1268.185686607461,1.15,-520.126979929007,-1.040249840616335,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1258.35, 'don_lower': 1216.64, 'atr': 2.086421651865278, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-02-24 12:00:00+0000', tz='UTC')}"
2017-02-27 16:00:00+00:00,2017-02-27 18:00:00+00:00,1,1263.075,1257.8497172212708,1258.0247172212707,1272.6805655574587,0.98,-512.0777123154667,-1.0346515250070782,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1260.05, 'don_lower': 1216.64, 'atr': 2.44264138936468, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-02-27 15:00:00+0000', tz='UTC')}"
2017-03-03 15:00:00+00:00,2017-03-03 19:00:00+00:00,-1,1225.255,1231.227170090081,1231.052170090081,1213.9156598198374,0.85,-507.6344576568772,-1.0301871425679543,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1263.79, 'don_lower': 1225.45, 'atr': 2.8560850450406283, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-03-03 14:00:00+0000', tz='UTC')}"
2017-03-07 13:00:00+00:00,2017-03-08 09:00:00+00:00,-1,1220.935,1213.205,1212.7233187912468,,1.14,858.4200000000021,1.7477726789638681,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1263.79, 'don_lower': 1222.16, 'atr': 2.086670302188261, 'exit_reason': 'sl_gap', 'signal_time': Timestamp('2017-03-07 12:00:00+0000', tz='UTC')}"
2017-03-08 13:00:00+00:00,2017-03-09 23:00:00+00:00,-1,1209.395,1200.975,1200.7717507987973,,1.11,868.020000000008,1.7439301305211536,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1263.79, 'don_lower': 1211.36, 'atr': 2.1845623003006955, 'exit_reason': 'sl_gap', 'signal_time': Timestamp('2017-03-08 12:00:00+0000', tz='UTC')}"
2017-03-10 04:00:00+00:00,2017-03-10 13:00:00+00:00,-1,1196.9550000000002,1201.7052756105684,1201.5302756105684,1188.3294487788635,1.1,-522.5303171625047,-1.038249061891644,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1263.79, 'don_lower': 1197.55, 'atr': 2.200137805284156, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-03-10 03:00:00+0000', tz='UTC')}"
2017-03-20 02:00:00+00:00,2017-03-21 01:00:00+00:00,1,1234.185,1229.6258033406857,1229.8008033406857,1242.4583933186289,1.14,-474.1484191618232,-0.9486793094643623,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1233.67, 'don_lower': 1194.91, 'atr': 2.109598329657199, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-03-20 01:00:00+0000', tz='UTC')}"
2017-03-21 13:00:00+00:00,2017-03-22 07:00:00+00:00,1,1239.335,1247.275,1248.06088150772,,1.08,900.7200000000059,1.8148422418447692,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1235.45, 'don_lower': 1194.91, 'atr': 2.2202203769300177, 'exit_reason': 'sl_gap', 'signal_time': Timestamp('2017-03-21 12:00:00+0000', tz='UTC')}"
2017-03-22 17:00:00+00:00,2017-03-22 23:00:00+00:00,1,1251.185,1246.1357913388665,1246.3107913388665,1260.4984173222667,1.03,-520.0684920967437,-1.0359032639278227,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1250.37, 'don_lower': 1194.91, 'atr': 2.3646043305667015, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-03-22 16:00:00+0000', tz='UTC')}"
2017-03-23 12:00:00+00:00,2017-03-23 14:00:00+00:00,1,1252.185,1247.2931502375009,1247.4681502375008,1260.9736995249984,1.06,-518.5360748249022,-1.0371010332767594,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1251.23, 'don_lower': 1196.15, 'atr': 2.2509248812495803, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-03-23 11:00:00+0000', tz='UTC')}"
2017-03-27 01:00:00+00:00,2017-03-28 06:00:00+00:00,1,1254.955,1253.4250359758346,1253.6000359758345,1266.2508174424615,0.84,-94.91697802988838,-0.19118204467085734,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1254.02, 'don_lower': 1197.23, 'atr': 2.867704360615383, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-03-27 00:00:00+0000', tz='UTC')}"
2017-04-07 02:00:00+00:00,2017-04-07 18:00:00+00:00,1,1264.565,1259.5359786054366,1259.7109786054366,1275.0199872427845,0.89,-447.58290411614394,-0.9012593446851623,"{'trail_atr_mult': 4.0, 'trail_atr_len': 14, 'tp_converts_to_trail': True, 'don_upper': 1261.22, 'don_lower': 1239.61, 'atr': 2.672496810696133, 'exit_reason': 'sl', 'signal_time': Timestamp('2017-04-07 01:00:00+0000', tz='UTC')}"
